,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,101.0,0.0,546.0,0.0,507.36339373758096,365.84021850802077,488.9121872699486,477.0876926565876
1,0.030000686645507812,0.0,0.0,101.0,0.0,547.0,0.0,507.36339373758096,365.84021850802077,488.9121872699486,477.0876926565876
2,0.05000114440917969,200.0,0.0,101.0,0.0,545.0,0.0,507.36339373758096,365.84021850802077,488.9121872699486,477.0876926565876
3,0.07999992370605469,200.0,0.0,104.0,0.0,546.0,0.0,507.8594861953023,365.77931063212367,489.47513837906854,477.61095357948005
4,0.10000038146972656,200.0,0.0,109.0,0.0,538.0,0.0,507.86158182561616,365.7476052448221,500.544348926247,481.82785498208483
5,0.13000106811523438,200.0,0.0,115.0,0.0,535.0,0.0,507.9114258061014,365.92799837386605,508.56295425717263,483.3921808930399
6,0.15000152587890625,200.0,0.0,117.0,0.0,506.0,0.0,507.9114258061014,365.92799837386605,508.56295425717263,483.3921808930399
7,0.18000030517578125,200.0,0.0,118.0,0.0,470.0,0.0,507.9114258061014,365.92799837386605,508.56295425717263,483.3921808930399
8,0.20000076293945312,200.0,0.0,123.0,0.0,451.0,0.0,507.9114258061014,365.92799837386605,508.56295425717263,483.3921808930399
9,0.23000144958496094,200.0,0.0,124.0,0.0,450.0,0.0,507.9114258061014,365.92799837386605,508.56295425717263,483.3921808930399
10,0.26000022888183594,200.0,0.0,122.0,0.0,449.0,0.0,507.9114258061014,365.92799837386605,508.56295425717263,483.3921808930399
11,0.2800006866455078,200.0,0.0,127.0,0.0,444.0,0.0,507.9114258061014,365.92799837386605,508.56295425717263,483.3921808930399
12,0.3100013732910156,200.0,0.0,124.0,0.0,436.0,0.0,507.8244131353298,365.6721938984575,516.6583531525974,484.58042387759735
13,0.3400001525878906,200.0,0.0,126.0,0.0,425.0,0.0,507.8244131353298,365.6721938984575,516.6583531525974,484.58042387759735
14,0.3600006103515625,200.0,0.0,128.0,0.0,422.0,0.0,507.8244131353298,365.6721938984575,516.6583531525974,484.58042387759735
15,0.3900012969970703,200.0,0.0,128.0,0.0,422.0,0.0,507.8244131353298,365.6721938984575,516.6583531525974,484.58042387759735
16,0.4099998474121094,200.0,0.0,127.0,0.0,427.0,0.0,507.8244131353298,365.6721938984575,516.6583531525974,484.58042387759735
17,0.4400005340576172,200.0,0.0,127.0,0.0,426.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
18,0.46000099182128906,200.0,0.0,131.0,0.0,425.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
19,0.48999977111816406,200.0,0.0,130.0,0.0,419.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
20,0.5200004577636719,200.0,0.0,127.0,0.0,415.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
21,0.5400009155273438,200.0,0.0,129.0,0.0,417.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
22,0.5699996948242188,200.0,0.0,130.0,0.0,418.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
23,0.6000003814697266,200.0,0.0,128.0,0.0,421.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
24,0.6200008392333984,200.0,0.0,128.0,0.0,422.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
25,0.6500015258789062,200.0,0.0,130.0,0.0,422.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
26,0.6700000762939453,200.0,0.0,127.0,0.0,416.0,0.0,507.7153567353688,365.7698620665443,515.5572571209949,484.7555835587633
27,0.7000007629394531,200.0,0.0,130.0,0.0,415.0,0.0,507.7153567353688,365.7698620665443,516.1707168546319,484.8114344555989
28,0.720001220703125,200.0,0.0,127.0,0.0,419.0,0.0,507.7153567353688,365.7698620665443,516.1707168546319,484.8114344555989
29,0.75,200.0,0.0,132.0,0.0,420.0,0.0,507.8034606816218,365.8267528568224,515.5392564760077,484.72565971195854
30,0.7800006866455078,200.0,0.0,127.0,0.0,423.0,0.0,507.8348670332327,365.73224861943305,517.5426212477184,484.7886416059281
31,0.8000011444091797,200.0,0.0,132.0,0.0,421.0,0.0,507.90933561646136,365.84458442244687,519.4548794672465,484.6271262568313
32,0.8299999237060547,200.0,0.0,127.0,0.0,420.0,0.0,507.90933561646136,365.84458442244687,519.4548794672465,484.6271262568313
33,0.8600006103515625,200.0,0.0,131.0,0.0,417.0,0.0,507.90933561646136,365.84458442244687,519.4548794672465,484.6271262568313
34,0.8800010681152344,200.0,0.0,126.0,0.0,418.0,0.0,507.90933561646136,365.84458442244687,519.4548794672465,484.6271262568313
35,0.9099998474121094,200.0,0.0,132.0,0.0,419.0,0.0,507.90933561646136,365.84458442244687,519.4548794672465,484.6271262568313
36,0.9300003051757812,200.0,0.0,130.0,0.0,421.0,0.0,507.90933561646136,365.84458442244687,519.4548794672465,484.6271262568313
37,0.9600009918212891,200.0,0.0,129.0,0.0,421.0,0.0,507.90933561646136,365.84458442244687,519.4548794672465,484.6271262568313
38,0.9800014495849609,200.0,0.0,132.0,0.0,419.0,0.0,507.7566735654639,365.8926076805545,519.2289417542387,484.93084923676287
39,1.010000228881836,200.0,0.0,129.0,0.0,420.0,0.0,507.7566735654639,365.8926076805545,519.2289417542387,484.93084923676287
