,0,1,2,3,4,5,6,7,8,9
20,-0.830789063905755,-0.850124007455828,-0.869970293773673,-0.867866062773011,-0.886090080265827,-0.877928020821415,-0.883028621211159,-0.8835479148366,-0.875978316237974,-0.870255038285431
40,3.14187998276804,3.13516905226357,3.1743210421009,3.16821348011633,3.15496201742107,3.16134799589515,3.16768385968134,3.17624535330961,3.17086706113816,3.18679823041241
60,9.76752897417551,9.93318336550698,9.94683235746118,9.99975917255082,10.0249827676459,10.0627371764936,10.1037636984346,10.1581808164906,10.1030393416823,10.2133580855307
80,18.0386044688236,18.0862951894655,18.1387346691141,18.0854017770913,18.1083333435572,18.0909400756992,18.1888892544167,18.1274081184685,18.1126604937016,18.104063344679
100,26.7484579292914,26.7142259510798,26.7252129852086,26.836470499089,26.9490414205554,26.7994755264646,26.7312776480008,26.9004409643714,27.0464409726264,27.0057892199134
120,36.1634386568269,36.2733266005734,36.2847264863893,36.2947299792028,36.243906406703,36.3734715076021,36.1805576221416,36.1348330460992,36.0987476493663,36.072980372498
140,44.6513083639871,44.7618524780804,44.791149991696,44.6712489828217,44.6704313378425,44.4535772719654,44.3859049656498,44.2678222912368,44.1710915603464,44.4532918638671
160,51.7374043656808,51.3874760879373,51.4275295367492,50.5673937228111,50.4931806342572,51.0273957095317,51.0463185912138,50.5171229236002,50.3847011256753,50.3800682306345
180,57.2824243383395,57.2824243383395,57.3928257084118,57.4428535668352,57.4036192196481,57.3320354638813,57.1427320235065,57.1032712461597,57.0900510603775,57.034951849335
200,62.7671128788866,62.9271343554505,62.7449991581548,62.7255850207718,62.7184741474605,62.6375728333941,62.6525411799751,62.6005603052778,62.5553688198071,62.4113601953282
