,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,100.0,0.0,548.0,0.0,113.79323090554206,-35.61429141641062,112.41750760076519,48.20965504228066
1,0.029998779296875,0.0,0.0,100.0,0.0,547.0,0.0,113.65936392190237,-35.63016774217235,112.28092046453158,48.23961785893809
2,0.050018310546875,0.0,0.0,101.0,0.0,551.0,0.0,113.65936392190238,-35.630167742172404,112.28092046453158,48.23961785893808
3,0.08001708984375,0.0,0.0,101.0,0.0,548.0,0.0,113.7930986116872,-35.61217936194835,112.28538283886405,48.21488368586092
4,0.100006103515625,0.0,0.0,101.0,0.0,547.0,0.0,113.60978641427789,-35.628408916102536,112.25027786653543,48.246082446779404
5,0.1300048828125,0.0,0.0,100.0,0.0,547.0,0.0,113.60978641427789,-35.628408916102536,112.25027786653543,48.246082446779404
6,0.149993896484375,0.0,0.0,100.0,0.0,548.0,0.0,113.6186626998805,-35.62093898361007,112.25874290134006,48.267684156735776
7,0.180023193359375,0.0,0.0,101.0,0.0,548.0,0.0,113.78056073615686,-35.64343303448415,112.26870028723316,48.2535105791836
8,0.20001220703125,0.0,0.0,100.0,0.0,550.0,0.0,113.81415787495419,-35.634967457832914,112.27342096611488,48.26022838310482
9,0.230010986328125,0.0,0.0,101.0,0.0,548.0,0.0,113.61872084352112,-35.62083930922996,112.25874290134007,48.26768415673577
10,0.25,0.0,0.0,102.0,0.0,549.0,0.0,113.61872084352112,-35.62083930922994,112.25874290134007,48.26768415673577
11,0.279998779296875,0.0,0.0,101.0,0.0,546.0,0.0,113.6171425170431,-35.6243029712583,112.26870028723314,48.25351057918361
12,0.300018310546875,0.0,0.0,101.0,0.0,548.0,0.0,113.63831222765398,-35.61625369910525,112.25650362847325,48.231813877097686
13,0.33001708984375,0.0,0.0,101.0,0.0,547.0,0.0,113.61589913863733,-35.5953446525939,112.25927555946517,48.23287420711109
14,0.350006103515625,0.0,0.0,101.0,0.0,550.0,0.0,113.61589913863733,-35.595344652593916,112.25927555946518,48.23287420711108
15,0.3800048828125,0.0,0.0,101.0,0.0,550.0,0.0,113.6463939253058,-35.65036867342229,112.2630199595183,48.24775812483317
16,0.399993896484375,0.0,0.0,101.0,0.0,549.0,0.0,113.78081594564564,-36.57213720489935,112.2453146038045,47.529476733425845
17,0.430023193359375,0.0,0.0,100.0,0.0,549.0,0.0,113.78081594564564,-36.57213720489935,112.2453146038045,47.529476733425845
18,0.45001220703125,0.0,0.0,101.0,0.0,546.0,0.0,113.6096241638765,-36.55705465704175,112.22715942396138,47.557258359981276
19,0.480010986328125,0.0,0.0,101.0,0.0,551.0,0.0,113.6096241638765,-36.55705465704178,112.22715942396138,47.557258359981276
20,0.5,0.0,0.0,101.0,0.0,548.0,0.0,113.62284255575359,-36.56368348257498,112.24801972927935,47.541517901370135
21,0.529998779296875,0.0,0.0,101.0,0.0,549.0,0.0,113.62379062826082,-36.58577302038144,112.25100798248818,47.53524420266878
22,0.550018310546875,0.0,0.0,101.0,0.0,548.0,0.0,113.62379062826082,-36.58577302038141,112.25100798248818,47.53524420266877
23,0.58001708984375,0.0,0.0,101.0,0.0,548.0,0.0,113.77249114436015,-36.55121709401512,112.40850260010833,47.51473620457718
24,0.600006103515625,0.0,0.0,101.0,0.0,549.0,0.0,113.6012438875124,-36.56593986336013,112.24229103803478,47.50534636312079
25,0.6300048828125,0.0,0.0,101.0,0.0,548.0,0.0,113.64516177669086,-36.60688928594999,112.25601861711608,47.5418119568118
26,0.649993896484375,0.0,0.0,101.0,0.0,548.0,0.0,113.64516177669086,-36.606889285950004,112.25601861711608,47.5418119568118
27,0.680023193359375,0.0,0.0,100.0,0.0,549.0,0.0,113.61694357495499,-36.57837493116119,112.22828404087858,47.48369595036465
28,0.70001220703125,0.0,0.0,100.0,0.0,549.0,0.0,113.59561736759184,-36.63412384253948,112.2630389458686,47.48978963597806
29,0.730010986328125,0.0,0.0,101.0,0.0,549.0,0.0,113.63072928607289,-36.57100235442934,112.25966139223641,47.49782515802047
30,0.75,0.0,0.0,100.0,0.0,547.0,0.0,113.63072928607289,-36.57100235442935,112.25966139223642,47.49782515802046
31,0.779998779296875,0.0,0.0,101.0,0.0,549.0,0.0,113.63072928607289,-36.57100235442937,112.29214081669029,47.546274221423886
32,0.800018310546875,0.0,0.0,102.0,0.0,548.0,0.0,113.6015132855911,-36.5717305674424,112.24723539636764,47.52029068117905
33,0.83001708984375,0.0,0.0,101.0,0.0,549.0,0.0,113.77193861847653,-36.554384440585146,112.26139666731095,47.5256589666791
34,0.850006103515625,0.0,0.0,100.0,0.0,547.0,0.0,113.77193861847653,-36.554384440585146,112.26139666731095,47.5256589666791
35,0.8800048828125,0.0,0.0,101.0,0.0,550.0,0.0,113.6307292860729,-36.57100235442941,112.26192615723475,47.53624108492744
36,0.899993896484375,0.0,0.0,101.0,0.0,549.0,0.0,113.204989114648,-35.63762500808942,111.8791667770523,48.64321650988744
37,0.930023193359375,0.0,0.0,100.0,0.0,549.0,0.0,113.16928248803524,-35.42978680731388,111.88767925976846,48.664847576027874
38,0.95001220703125,0.0,0.0,100.0,0.0,547.0,0.0,113.16928248803524,-35.42978680731388,111.88767925976846,48.664847576027874
39,0.980010986328125,0.0,0.0,101.0,0.0,550.0,0.0,113.18489218086522,-35.425982049870846,112.06670080220871,48.62728058541532
40,1.0,0.0,0.0,101.0,0.0,546.0,0.0,113.20572076284051,-35.47265551697116,111.90558292181363,48.633308670881945
